,Giá,Diện Tích,Số phòng ngủ,Số toilet,Số tầng
0,5.2,25.0,2,2,2
1,37.0,88.0,3,2,2
2,59.0,137.0,12,12,7
3,7.2,36.0,3,2,1
4,29.9,72.0,6,4,4
5,12.3,45.0,5,5,4
6,60.0,140.0,5,5,4
7,58.5,140.0,7,7,8
8,59.0,139.0,7,6,8
9,55.0,139.0,7,7,8
10,21.0,58.0,2,2,2
11,30.0,68.0,4,4,4
12,24.0,92.0,6,7,4
13,100.0,270.0,6,8,3
14,10.0,65.0,12,6,4
15,15.2,58.0,5,5,4
16,2.7,14.0,2,2,3
17,14.5,68.0,4,4,3
18,1.32,54.0,2,2,1
19,36.0,80.0,6,4,4
20,72.0,180.0,4,4,3
21,14.2,60.0,5,5,5
22,17.0,73.0,8,8,5
23,78.0,146.0,5,4,3
24,70.0,143.0,8,8,8
25,10.8,104.0,12,6,4
26,28.0,50.5,8,5,5
27,9.9,44.8,5,5,3
28,7.499,40.0,4,3,3
29,32.99,90.0,5,5,4
30,12.8,62.0,5,6,4
31,32.0,60.0,4,5,3
32,35.999,53.0,9,10,5
33,20.5,77.0,6,7,6
34,17.8,36.0,3,3,5
35,25.0,69.0,9,8,6
36,30.0,88.0,4,4,4
37,44.0,150.0,4,2,1
38,40.0,132.0,10,10,5
39,78.0,150.0,5,5,5
40,55.0,119.0,2,4,3
41,11.8,52.0,2,2,1
42,30.0,71.0,6,7,5
43,40.0,42.0,6,6,5
44,13.9,52.0,4,4,3
45,23.0,50.0,4,4,3
46,9.2,22.0,8,9,5
47,31.6,92.0,10,11,7
48,23.5,50.0,8,8,6
49,23.5,60.0,10,11,7
50,50.0,75.6,8,8,6
51,49.0,110.0,6,6,3
52,14.2,55.0,4,4,5
53,43.9,77.4,8,4,5
54,62.5,142.0,12,6,6
55,27.9,64.0,6,3,3
56,89.5,180.0,10,10,6
57,62.0,140.0,12,7,7
58,3.5,900.0,3,3,2
59,59.0,84.0,5,4,4
60,8.0,32.0,4,3,4
61,59.0,84.0,5,4,4
62,11.0,45.0,4,3,3
63,63.0,72.0,4,4,4
64,680.0,1504.0,4,4,1
65,55.0,76.7,3,3,2
66,32.0,55.6,3,3,3
67,46.0,126.0,10,12,5
68,90.0,70.0,3,3,3
69,76.0,115.0,5,6,3
70,35.0,123.5,9,9,5
71,38.5,104.0,6,6,1
72,18.0,81.0,3,3,2
73,2.5,55.0,3,3,2
74,16.0,67.5,5,5,6
75,9.9,44.8,5,5,3
76,31.0,67.0,12,12,6
77,5.8,41.0,4,5,4
78,245.0,420.0,10,10,6
79,80.0,142.5,7,6,7
80,62.5,96.0,3,3,4
81,26.5,54.0,1,1,2
82,142.0,225.0,5,5,4
83,28.0,78.0,6,5,4
84,28.0,78.0,6,4,4
85,32.0,42.0,2,2,2
86,27.4,131.0,2,2,2
87,25.0,70.0,3,4,4
88,24.0,91.0,10,10,3
89,125.0,378.0,3,3,2
90,6.8,30.0,2,3,3
91,25.0,54.0,2,2,2
92,9.68,42.0,5,5,3
93,27.0,71.0,8,8,4
94,15.0,91.5,9,10,4
95,40.0,68.3,3,4,3
96,34.0,71.0,2,2,2
97,75.0,105.0,2,2,3
98,83.0,183.5,4,5,3
99,37.0,80.0,2,2,2
100,35.0,55.83,7,8,6
101,70.0,130.0,2,2,3
102,170.0,150.0,3,3,3
103,64.0,141.4,7,7,7
104,64.0,120.0,8,8,5
105,6.3,24.0,12,12,7
106,30.0,75.0,7,7,4
107,22.0,63.8,4,4,1
108,80.0,190.0,4,1,2
109,4.5,22.0,3,3,4
110,8.1,28.0,4,4,3
111,6.8,69.0,3,3,4
112,65.0,175.0,8,8,8
113,45.0,105.6,9,6,5
114,15.5,44.0,4,4,2
115,55.0,168.0,3,4,3
116,28.5,96.0,5,6,6
117,12.5,33.0,3,2,4
118,52.0,125.0,3,3,2
119,3.29,31.0,2,2,2
120,31.0,137.7,5,5,4
121,36.0,60.0,10,7,7
122,35.9,70.0,6,6,5
123,35.0,70.0,5,4,5
124,14.5,63.0,4,4,3
125,36.0,106.0,13,13,8
126,35.0,102.0,6,6,5
127,16.9,57.0,8,8,5
128,14.0,84.0,3,3,2
129,18.0,85.0,6,5,5
130,27.7,77.4,5,3,2
131,4.95,20.0,3,4,5
132,430.0,1069.0,6,8,4
133,142.0,225.0,6,8,4
134,46.0,84.0,6,8,4
135,24.0,68.0,5,5,4
136,25.5,72.0,4,4,3
137,16.5,84.0,5,5,5
138,7.5,38.5,3,2,2
139,11.8,52.0,3,3,2
140,23.5,104.0,7,8,4
141,28.0,112.0,4,5,3
142,16.5,71.55,10,11,5
143,40.0,101.8,8,5,6
144,17.3,74.9,10,6,4
145,15.5,63.0,5,4,4
146,10.5,56.3,2,2,1
147,78.0,200.0,1,1,1
148,11.8,72.0,4,4,2
149,32.5,95.0,6,6,4
150,3.6,27.0,2,1,2
151,18.0,65.0,3,4,2
152,28.5,90.5,1,1,1
153,5.5,27.5,2,3,3
154,18.0,58.0,2,2,2
155,36.0,56.35,7,6,7
156,11.0,56.0,2,2,2
157,13.8,32.0,3,3,3
158,16.0,64.0,4,4,3
159,14.9,32.0,6,5,4
160,23.0,78.3,3,3,2
161,27.5,88.0,4,4,2
162,14.5,72.0,4,5,4
163,12.0,62.8,4,4,2
164,72.0,100.0,10,10,5
165,40.0,69.0,6,7,3
166,32.0,94.0,10,11,3
167,32.0,140.0,3,4,3
168,32.0,60.0,10,5,4
169,20.0,67.0,6,7,4
170,18.0,36.0,6,6,3
171,18.0,36.0,6,6,3
172,139.0,190.0,9,9,8
173,18.0,64.0,3,3,3
174,118.0,225.0,5,6,4
175,35.0,100.0,10,6,5
176,3.29,31.0,2,2,2
177,43.0,86.4,5,6,3
178,500.0,200.0,8,8,7
179,72.5,121.0,8,8,8
180,24.5,80.0,3,3,3
181,34.5,90.2,3,3,2
182,15.0,64.35,3,3,2
183,119.0,180.0,8,8,8
184,120.0,240.0,3,3,4
185,20.5,92.0,5,5,3
186,165.0,339.59,7,8,7
187,36.5,75.6,6,6,5
188,34.0,76.2,6,7,5
189,75.0,190.0,3,3,3
190,16.8,92.0,8,8,5
191,16.0,63.0,6,6,4
192,7.2,30.0,6,7,5
193,12.0,60.0,4,4,3
194,13.9,63.6,6,6,4
195,16.9,57.0,8,8,5
196,15.5,68.0,4,4,4
197,9.0,40.0,3,4,4
198,4.1,24.0,2,1,2
199,85.0,172.0,7,7,7
200,55.0,198.0,8,8,8
201,14.2,66.0,5,5,5
202,250.0,392.0,2,2,2
203,9.2,28.1,4,4,5
204,37.0,92.0,6,7,5
205,18.0,78.0,10,11,6
206,3.2,20.0,3,4,4
207,37.5,75.0,2,4,2
208,145.0,170.15,4,5,4
209,25.0,88.0,4,4,3
210,15.5,75.0,2,2,2
211,15.0,30.0,5,5,5
212,24.5,80.0,5,6,3
213,17.2,35.21,4,4,4
214,55.0,62.9,10,6,6
215,30.0,123.0,6,7,5
216,18.0,43.0,4,4,4
217,28.5,105.0,4,5,4
